;actor_loss;Steps;Wall_Time
1570;-43.63497543334961;4019200;1649630723.5924451
1571;-48.06413269042969;4021760;1649630723.6493475
1572;-42.948699951171875;4024320;1649630723.7082713
1573;-42.23487091064453;4026880;1649630723.7657676
1574;-42.75044631958008;4029440;1649630723.8198829
1575;-41.264991760253906;4032000;1649630723.8767936
1576;-40.089473724365234;4034560;1649630723.9303987
1577;-40.421600341796875;4037120;1649630723.9849308
1578;-39.55112075805664;4039680;1649630724.04145
1579;-41.97453308105469;4042240;1649630724.1038325
1580;-39.49074935913086;4044800;1649630724.1671362
1581;-41.46162414550781;4047360;1649630724.2196913
1582;-41.56418228149414;4049920;1649630724.274651
1583;-43.397491455078125;4052480;1649630724.3383996
1584;-42.22844696044922;4055040;1649630724.4061337
1585;-41.613914489746094;4057600;1649630724.465746
1586;-42.042415618896484;4060160;1649630724.537226
1587;-44.48704528808594;4062720;1649630724.6062264
1588;-41.938812255859375;4065280;1649630724.6633916
1589;-44.243507385253906;4067840;1649630724.729707
1590;-42.954620361328125;4070400;1649630724.7957041
1591;-43.17939376831055;4072960;1649630724.858918
1592;-44.25259017944336;4075520;1649630724.927568
1593;-45.629371643066406;4078080;1649630724.9833975
1594;-41.62805938720703;4080640;1649630725.036281
1595;-40.40141677856445;4083200;1649630725.0952768
1596;-39.9248046875;4085760;1649630725.157951
1597;-43.93151092529297;4088320;1649630725.2193344
1598;-43.090415954589844;4090880;1649630725.274575
1599;-44.14381790161133;4093440;1649630725.332531
1600;-42.1011848449707;4096000;1649630725.6755283
1601;-47.201072692871094;4098560;1649630725.740991
1602;-44.598228454589844;4101120;1649630725.7980282
1603;-39.993072509765625;4103680;1649630725.859742
1604;-43.78551483154297;4106240;1649630725.9213135
1605;-43.627235412597656;4108800;1649630725.98414
1606;-46.11613082885742;4111360;1649630726.0459025
1607;-42.157039642333984;4113920;1649630726.1055937
1608;-46.03628921508789;4116480;1649630726.1648452
1609;-47.15480041503906;4119040;1649630726.2244382
1610;-43.288177490234375;4121600;1649630726.2970107
1611;-44.166603088378906;4124160;1649630726.377479
1612;-45.72208023071289;4126720;1649630726.4550545
1613;-45.032203674316406;4129280;1649630726.5145204
1614;-43.32276153564453;4131840;1649630726.5816293
1615;-43.72278594970703;4134400;1649630726.6588438
1616;-43.53558349609375;4136960;1649630726.7307446
1617;-46.311283111572266;4139520;1649630726.8036005
1618;-42.056514739990234;4142080;1649630726.872429
1619;-42.47450256347656;4144640;1649630726.935582
1620;-43.22553634643555;4147200;1649630726.9995022
1621;-41.09228515625;4149760;1649630727.0552647
1622;-43.193763732910156;4152320;1649630727.1112807
1623;-44.35057830810547;4154880;1649630727.161585
1624;-42.23683166503906;4157440;1649630727.2142153
1625;-42.73616027832031;4160000;1649630727.2739112
1626;-43.78609085083008;4162560;1649630727.3351765
1627;-43.56867599487305;4165120;1649630727.3961718
1628;-43.4461784362793;4167680;1649630727.4578273
1629;-42.656734466552734;4170240;1649630727.5254595
1630;-43.092525482177734;4172800;1649630727.5918877
1631;-42.87385940551758;4175360;1649630727.647038
1632;-42.07366943359375;4177920;1649630727.706627
1633;-41.511451721191406;4180480;1649630727.7675617
1634;-43.98096466064453;4183040;1649630727.8284447
1635;-45.68950653076172;4185600;1649630727.8855107
1636;-42.449859619140625;4188160;1649630727.954039
1637;-43.79764175415039;4190720;1649630728.018155
1638;-46.055824279785156;4193280;1649630728.0836892
1639;-40.525814056396484;4195840;1649630728.1437402
1640;-42.8801155090332;4198400;1649630728.2040436
1641;-41.690181732177734;4200960;1649630728.265954
1642;-42.547996520996094;4203520;1649630728.3290641
1643;-40.059539794921875;4206080;1649630728.3892047
1644;-41.506568908691406;4208640;1649630728.4509187
1645;-43.215370178222656;4211200;1649630728.5037265
1646;-42.3045539855957;4213760;1649630728.562158
1647;-42.11793518066406;4216320;1649630728.615413
1648;-40.64617156982422;4218880;1649630728.6771405
1649;-42.49562454223633;4221440;1649630728.7377095
1650;-42.21561813354492;4224000;1649630728.798124
1651;-41.570640563964844;4226560;1649630728.8581352
1652;-39.86787796020508;4229120;1649630728.9110954
1653;-40.411136627197266;4231680;1649630728.9669702
1654;-40.616661071777344;4234240;1649630729.021767
1655;-39.93584442138672;4236800;1649630729.0762892
1656;-41.58751678466797;4239360;1649630729.12905
1657;-43.09443283081055;4241920;1649630729.1882112
1658;-41.822845458984375;4244480;1649630729.255501
1659;-41.55109786987305;4247040;1649630729.3105276
1660;-42.959983825683594;4249600;1649630729.365864
1661;-42.87085723876953;4252160;1649630729.4204397
1662;-40.287376403808594;4254720;1649630729.4750874
1663;-42.439292907714844;4257280;1649630729.5297213
1664;-38.58976364135742;4259840;1649630729.5821924
1665;-38.26554870605469;4262400;1649630729.6410184
1666;-38.90323257446289;4264960;1649630729.6955469
1667;-38.42002868652344;4267520;1649630729.7562938
1668;-39.21767807006836;4270080;1649630729.8138375
1669;-38.88372802734375;4272640;1649630729.8749235
1670;-38.85478591918945;4275200;1649630729.9318147
1671;-37.18724060058594;4277760;1649630729.9862225
1672;-37.785438537597656;4280320;1649630730.0428486
1673;-38.498313903808594;4282880;1649630730.104105
1674;-39.04587936401367;4285440;1649630730.1664052
1675;-41.77955627441406;4288000;1649630730.2265403
1676;-41.21198272705078;4290560;1649630730.285151
1677;-40.25074768066406;4293120;1649630730.3421562
1678;-41.46226501464844;4295680;1649630730.4044957
1679;-41.67913055419922;4298240;1649630730.4676287
1680;-40.094932556152344;4300800;1649630730.5238106
1681;-37.00128936767578;4303360;1649630730.5895202
1682;-40.24808120727539;4305920;1649630730.6504476
1683;-40.55109786987305;4308480;1649630730.7154784
1684;-40.93360137939453;4311040;1649630730.780957
1685;-40.06562423706055;4313600;1649630730.8424008
1686;-40.061702728271484;4316160;1649630730.899525
1687;-41.37109375;4318720;1649630730.951825
1688;-41.07774353027344;4321280;1649630731.0071125
1689;-37.421424865722656;4323840;1649630731.0686362
1690;-39.97926712036133;4326400;1649630731.1327527
1691;-42.16400146484375;4328960;1649630731.1909218
1692;-41.52932357788086;4331520;1649630731.2503612
1693;-39.51595687866211;4334080;1649630731.316941
1694;-42.389923095703125;4336640;1649630731.3762949
1695;-40.704139709472656;4339200;1649630731.4347842
1696;-41.66118240356445;4341760;1649630731.4887745
1697;-41.43846893310547;4344320;1649630731.545881
1698;-40.35614776611328;4346880;1649630731.5989857
1699;-40.681182861328125;4349440;1649630731.6591313
1700;-39.21791076660156;4352000;1649630731.9918268
1701;-40.619544982910156;4354560;1649630732.0599787
1702;-39.59368896484375;4357120;1649630732.1273098
1703;-41.675132751464844;4359680;1649630732.187196
1704;-41.19135284423828;4362240;1649630732.2517722
1705;-42.3153076171875;4364800;1649630732.3166435
1706;-40.208045959472656;4367360;1649630732.38162
1707;-41.5859375;4369920;1649630732.4422846
1708;-41.684837341308594;4372480;1649630732.5095859
1709;-38.487281799316406;4375040;1649630732.5667534
1710;-40.21131134033203;4377600;1649630732.6285522
1711;-41.53168487548828;4380160;1649630732.6847696
1712;-37.25187301635742;4382720;1649630732.7461493
1713;-40.46113204956055;4385280;1649630732.8126786
1714;-41.33210372924805;4387840;1649630732.8679526
1715;-41.307029724121094;4390400;1649630732.9284265
1716;-42.054954528808594;4392960;1649630732.9905064
1717;-45.520355224609375;4395520;1649630733.0497096
1718;-41.847286224365234;4398080;1649630733.1122003
1719;-42.17151641845703;4400640;1649630733.168765
1720;-39.859352111816406;4403200;1649630733.2291274
1721;-40.352699279785156;4405760;1649630733.2907436
1722;-40.092288970947266;4408320;1649630733.3547966
1723;-43.10031509399414;4410880;1649630733.413285
1724;-42.79214096069336;4413440;1649630733.4709518
1725;-40.09083557128906;4416000;1649630733.5330596
1726;-41.531578063964844;4418560;1649630733.5947125
1727;-44.62168884277344;4421120;1649630733.654701
1728;-45.52084732055664;4423680;1649630733.7134628
1729;-44.158775329589844;4426240;1649630733.775262
1730;-45.122047424316406;4428800;1649630733.836486
1731;-46.10346221923828;4431360;1649630733.901819
1732;-44.64442443847656;4433920;1649630733.9638195
1733;-41.16965866088867;4436480;1649630734.024768
1734;-45.018165588378906;4439040;1649630734.090972
1735;-47.373321533203125;4441600;1649630734.1498184
1736;-44.23521423339844;4444160;1649630734.2089796
