;Critic2LR;Steps;Wall_Time
298;9.999999747378752e-06;408320;1651185378.684188
299;9.999999747378752e-06;411520;1651185384.9104064
300;9.999999747378752e-06;412800;1651185387.2818756
301;9.999999747378752e-06;416000;1651185393.5941231
302;9.999999747378752e-06;417280;1651185396.2697246
303;9.999999747378752e-06;417920;1651185397.6202655
304;9.999999747378752e-06;419200;1651185400.119968
305;9.999999747378752e-06;420480;1651185402.7847826
306;9.999999747378752e-06;421120;1651185404.1210885
307;9.999999747378752e-06;423040;1651185408.1131434
308;9.999999747378752e-06;424960;1651185411.9305763
309;9.999999747378752e-06;426240;1651185414.4444172
310;9.999999747378752e-06;426880;1651185415.9406881
311;9.999999747378752e-06;427520;1651185417.0808358
312;9.999999747378752e-06;428160;1651185418.3998451
313;9.999999747378752e-06;428800;1651185419.6294453
314;9.999999747378752e-06;429440;1651185421.0747297
315;9.999999747378752e-06;430080;1651185422.407503
316;9.999999747378752e-06;433280;1651185428.7471075
317;9.999999747378752e-06;433920;1651185430.2391121
318;9.999999747378752e-06;435200;1651185432.7431455
319;9.999999747378752e-06;435840;1651185434.249716
320;9.999999747378752e-06;438400;1651185439.4676838
321;9.999999747378752e-06;439040;1651185440.6557612
322;9.999999747378752e-06;442240;1651185447.2112036
323;9.999999747378752e-06;442880;1651185448.7145925
324;9.999999747378752e-06;444160;1651185451.2227817
325;9.999999747378752e-06;444800;1651185452.5064466
326;9.999999747378752e-06;447360;1651185457.8902743
327;9.999999747378752e-06;448000;1651185500.8365417
328;9.999999747378752e-06;450560;1651185505.9519937
329;9.999999747378752e-06;451840;1651185508.597965
330;9.999999747378752e-06;452480;1651185509.9209569
331;9.999999747378752e-06;453120;1651185511.0895145
332;9.999999747378752e-06;453760;1651185512.4015787
333;9.999999747378752e-06;454400;1651185513.705191
334;9.999999747378752e-06;455040;1651185515.009345
335;9.999999747378752e-06;456320;1651185517.4563587
336;9.999999747378752e-06;457600;1651185520.1093001
337;9.999999747378752e-06;462720;1651185530.25943
338;9.999999747378752e-06;463360;1651185531.5703723
339;9.999999747378752e-06;465280;1651185535.349945
340;9.999999747378752e-06;465920;1651185536.8376777
341;9.999999747378752e-06;468480;1651185541.9401958
342;9.999999747378752e-06;469120;1651185543.2396736
343;9.999999747378752e-06;470400;1651185545.7188993
344;9.999999747378752e-06;471680;1651185548.3788242
345;9.999999747378752e-06;472960;1651185551.0305157
346;9.999999747378752e-06;473600;1651185552.3652868
347;9.999999747378752e-06;476160;1651185557.5019298
348;9.999999747378752e-06;477440;1651185560.0670044
349;9.999999747378752e-06;478720;1651185562.492637
350;9.999999747378752e-06;480000;1651185565.1529238
351;9.999999747378752e-06;481280;1651185567.6329095
352;9.999999747378752e-06;482560;1651185570.2722251
353;9.999999747378752e-06;483200;1651185571.5465817
354;9.999999747378752e-06;484480;1651185574.2081473
355;9.999999747378752e-06;485760;1651185576.6953511
356;9.999999747378752e-06;487040;1651185579.328246
357;9.999999747378752e-06;489600;1651185584.3321362
358;9.999999747378752e-06;490240;1651185585.6121914
359;9.999999747378752e-06;491520;1651185588.2715786
360;9.999999747378752e-06;492800;1651185590.7651613
361;9.999999747378752e-06;493440;1651185591.9065795
362;9.999999747378752e-06;494720;1651185594.5288537
363;9.999999747378752e-06;496640;1651185598.4980392
364;9.999999747378752e-06;497920;1651185600.915284
365;9.999999747378752e-06;499840;1651185604.7567482
366;9.999999747378752e-06;500480;1651185605.9262733
367;9.999999747378752e-06;501760;1651185608.5542943
368;9.999999747378752e-06;502400;1651185609.8689616
369;9.999999747378752e-06;504960;1651185615.0125513
370;9.999999747378752e-06;507520;1651185620.1017027
371;9.999999747378752e-06;508160;1651185621.6049778
372;9.999999747378752e-06;508800;1651185622.7928698
373;9.999999747378752e-06;510720;1651185626.455433
374;9.999999747378752e-06;511360;1651185627.6374717
375;9.999999747378752e-06;512000;1651185667.83499
376;9.999999747378752e-06;513920;1651185671.6850407
377;9.999999747378752e-06;514560;1651185672.8605876
378;9.999999747378752e-06;515840;1651185675.374334
379;9.999999747378752e-06;517120;1651185677.951379
380;9.999999747378752e-06;519040;1651185681.6688163
381;9.999999747378752e-06;519680;1651185682.9963918
