;avg_cost;Steps;Wall_Time
9084;-25.294843673706055;116275200;1649682311.7912128
9085;-25.579219818115234;116288000;1649682311.9090054
9086;-25.307422637939453;116300800;1649682312.0286264
9087;-25.892658233642578;116313600;1649682312.1416953
9088;-25.60187530517578;116326400;1649682312.2711914
9089;-25.726016998291016;116339200;1649682312.4017684
9090;-25.483829498291016;116352000;1649682312.5524342
9091;-25.651718139648438;116364800;1649682312.702821
9092;-25.241405487060547;116377600;1649682312.8375442
9093;-25.829219818115234;116390400;1649682312.9752002
9094;-26.15789031982422;116403200;1649682313.108438
9095;-25.869140625;116416000;1649682313.2475069
9096;-26.23921775817871;116428800;1649682313.3825278
9097;-26.063907623291016;116441600;1649682313.5209162
9098;-25.54789161682129;116454400;1649682313.6497161
9099;-25.715782165527344;116467200;1649682313.7875826
9100;-25.851484298706055;116480000;1649682317.4314604
9101;-25.642656326293945;116492800;1649682317.5676987
9102;-25.485624313354492;116505600;1649682317.6996264
9103;-26.11164093017578;116518400;1649682317.8373666
9104;-26.14617156982422;116531200;1649682317.9687674
9105;-25.901405334472656;116544000;1649682318.1036325
9106;-25.623828887939453;116556800;1649682318.2370565
9107;-25.598983764648438;116569600;1649682318.3730226
9108;-26.112499237060547;116582400;1649682318.492328
9109;-25.393047332763672;116595200;1649682318.6216786
9110;-25.625938415527344;116608000;1649682318.7445283
9111;-25.620311737060547;116620800;1649682318.8795807
9112;-25.8515625;116633600;1649682319.0085242
9113;-25.931171417236328;116646400;1649682319.1459196
9114;-25.993282318115234;116659200;1649682319.2805223
9115;-25.866718292236328;116672000;1649682319.4071171
9116;-26.16781234741211;116684800;1649682319.529365
9117;-25.689453125;116697600;1649682319.6617236
9118;-26.356874465942383;116710400;1649682319.798989
9119;-26.174686431884766;116723200;1649682319.9331944
9120;-25.68476676940918;116736000;1649682320.0631013
9121;-25.677032470703125;116748800;1649682320.194589
9122;-25.380233764648438;116761600;1649682320.315086
9123;-25.37078094482422;116774400;1649682320.4439158
9124;-26.067031860351562;116787200;1649682320.5686738
9125;-25.802656173706055;116800000;1649682320.700185
9126;-25.979454040527344;116812800;1649682320.8354628
9127;-26.087032318115234;116825600;1649682320.9680643
9128;-26.063751220703125;116838400;1649682321.1069098
9129;-26.005937576293945;116851200;1649682321.2495089
9130;-25.458438873291016;116864000;1649682321.3857257
9131;-25.852420806884766;116876800;1649682321.5217364
9132;-25.850078582763672;116889600;1649682321.6529756
9133;-26.100547790527344;116902400;1649682321.7789664
9134;-25.6640625;116915200;1649682321.9166408
9135;-25.847421646118164;116928000;1649682322.0479727
9136;-25.979454040527344;116940800;1649682322.1812606
9137;-25.866405487060547;116953600;1649682322.312974
9138;-25.964298248291016;116966400;1649682322.4424062
9139;-25.994216918945312;116979200;1649682322.5715437
9140;-25.704843521118164;116992000;1649682322.6998234
9141;-26.016796112060547;117004800;1649682322.8286934
9142;-25.772811889648438;117017600;1649682322.9540195
9143;-25.73093605041504;117030400;1649682323.0784533
9144;-25.564844131469727;117043200;1649682323.205546
9145;-26.209922790527344;117056000;1649682323.3367393
9146;-25.655624389648438;117068800;1649682323.4599905
9147;-25.347423553466797;117081600;1649682323.5899992
9148;-25.944921493530273;117094400;1649682323.7228346
9149;-25.548280715942383;117107200;1649682323.8535006
9150;-25.999530792236328;117120000;1649682323.9886653
9151;-25.806562423706055;117132800;1649682324.1134434
9152;-25.71015739440918;117145600;1649682324.24693
9153;-26.07210922241211;117158400;1649682324.3851364
9154;-25.8819522857666;117171200;1649682324.5302706
9155;-25.598983764648438;117184000;1649682324.6682932
9156;-25.766170501708984;117196800;1649682324.8052998
9157;-25.644142150878906;117209600;1649682324.9332137
9158;-25.485702514648438;117222400;1649682325.0703015
9159;-25.568750381469727;117235200;1649682325.2070022
9160;-25.705936431884766;117248000;1649682325.3392172
9161;-26.171642303466797;117260800;1649682325.4756272
9162;-25.905702590942383;117273600;1649682325.605143
9163;-25.702423095703125;117286400;1649682325.7360377
9164;-25.284921646118164;117299200;1649682325.8605573
